name,lat,lon,population,type
Austin,30.266646,-97.744729,979882,county seat
Round Rock,30.508054,-97.679073,130406,city
Del Rio,29.370389,-100.899277,34574,city
Brackettville,29.316211,-100.410335,1334,county seat
Uvalde,29.209824,-99.773868,15436,county seat
Rocksprings,30.020041,-100.194642,848,county seat
Leakey,29.725891,-99.757763,331,county seat
Camp Wood,29.669367,-100.012428,511,city
Carrizo Springs,28.524922,-99.848828,4628,city
Crystal City,28.67917,-99.823775,6099,city
La Pryor,28.945665,-99.834332,1090,city
Dilley,28.667721,-99.157927,3333,city
Pearsall,28.8914,-99.093617,8946,city
Hondo,29.345374,-99.132384,8786,city
Llano,30.759805,-98.66076,3511,county seat
San Antonio,29.426098,-98.492804,1495295,city
